Word,Freq,Freq(%)
feel,36,0.044988755,
half,36,0.044988755,
having,36,0.044988755,
mad,36,0.044988755,
whole,36,0.044988755,
yourself,36,0.044988755,
ah,35,0.043739066,
forget,35,0.043739066,
mind,35,0.043739066,
new,35,0.043739066,
place,35,0.043739066,
suppose,35,0.043739066,
air,34,0.042489376,
sense,34,0.042489376,
stood,34,0.042489376,
took,34,0.042489376,
alan,33,0.04123969,
almost,33,0.04123969,
joy,33,0.04123969,
music,33,0.04123969,
rose,33,0.04123969,
sure,33,0.04123969,
answer,32,0.03999,
ask,32,0.03999,
death,32,0.03999,
does,32,0.03999,
hideous,32,0.03999,
matter,32,0.03999,
may,32,0.03999,
painted,32,0.03999,
won,32,0.03999,
words,32,0.03999,
cannot,31,0.038740315,
chair,31,0.038740315,
feet,31,0.038740315,
find,31,0.038740315,
sat,31,0.038740315,
age,30,0.037490625,
became,30,0.037490625,
black,30,0.037490625,
book,30,0.037490625,
coloured,30,0.037490625,
friend,30,0.037490625,
nature,30,0.037490625,
pain,30,0.037490625,
poor,30,0.037490625,
reason,30,0.037490625,
same,30,0.037490625,
delightful,29,0.03624094,
fancy,29,0.03624094,
friends,29,0.03624094,
god,29,0.03624094,
hair,29,0.03624094,
help,29,0.03624094,
mean,29,0.03624094,
opened,29,0.03624094,
read,29,0.03624094,
sorry,29,0.03624094,
terror,29,0.03624094,
become,28,0.034991253,
blue,28,0.034991253,
body,28,0.034991253,
campbell,28,0.034991253,
end,28,0.034991253,
heart,28,0.034991253,
home,28,0.034991253,
live,28,0.034991253,
moments,28,0.034991253,
seems,28,0.034991253,
shook,28,0.034991253,
sin,28,0.034991253,
wild,28,0.034991253,
without,28,0.034991253,
brought,27,0.033741564,
call,27,0.033741564,
garden,27,0.033741564,
heavy,27,0.033741564,
kind,27,0.033741564,
known,27,0.033741564,
makes,27,0.033741564,
morning,27,0.033741564,
sins,27,0.033741564,
three,27,0.033741564,
whom,27,0.033741564,
besides,26,0.032491878,
charm,26,0.032491878,
entered,26,0.032491878,
evening,26,0.032491878,
expression,26,0.032491878,
exquisite,26,0.032491878,
gone,26,0.032491878,
happy,26,0.032491878,
large,26,0.032491878,
late,26,0.032491878,
off,26,0.032491878,
sit,26,0.032491878,
these,26,0.032491878,
try,26,0.032491878,
either,25,0.03124219,
fingers,25,0.03124219,
monstrous,25,0.03124219,
others,25,0.03124219,
times,25,0.03124219,
understand,25,0.03124219,
both,24,0.029992502,
brain,24,0.029992502,
clock,24,0.029992502,
days,24,0.029992502,
else,24,0.029992502,
gentleman,24,0.029992502,
green,24,0.029992502,
light,24,0.029992502,
lives,24,0.029992502,
married,24,0.029992502,
remember,24,0.029992502,
romance,24,0.029992502,
set,24,0.029992502,
silver,24,0.029992502,
smile,24,0.029992502,
till,24,0.029992502,
together,24,0.029992502,
walked,24,0.029992502,
word,24,0.029992502,
blood,23,0.028742814,
canvas,23,0.028742814,
chapter,23,0.028742814,
conscious,23,0.028742814,
drew,23,0.028742814,
front,23,0.028742814,
however,23,0.028742814,
influence,23,0.028742814,
itself,23,0.028742814,
mere,23,0.028742814,
passions,23,0.028742814,
perfectly,23,0.028742814,
senses,23,0.028742814,
sometimes,23,0.028742814,
best,22,0.027493125,
broke,22,0.027493125,
called,22,0.027493125,
changed,22,0.027493125,
exclaimed,22,0.027493125,
fellow,22,0.027493125,
gave,22,0.027493125,
hour,22,0.027493125,
laughing,22,0.027493125,
money,22,0.027493125,
narborough,22,0.027493125,
son,22,0.027493125,
wife,22,0.027493125,
yellow,22,0.027493125,
act,21,0.026243439,
between,21,0.026243439,
certain,21,0.026243439,
coat,21,0.026243439,
colour,21,0.026243439,
enough,21,0.026243439,
far,21,0.026243439,
happened,21,0.026243439,
hope,21,0.026243439,
horror,21,0.026243439,
james,21,0.026243439,
leave,21,0.026243439,
loved,21,0.026243439,
minutes,21,0.026243439,
next,21,0.026243439,
perfect,21,0.026243439,
remembered,21,0.026243439,
servant,21,0.026243439,
sort,21,0.026243439,
spoke,21,0.026243439,
street,21,0.026243439,
window,21,0.026243439,
bear,20,0.024993753,
bye,20,0.024993753,
care,20,0.024993753,
change,20,0.024993753,
club,20,0.024993753,
de,20,0.024993753,
didn,20,0.024993753,
died,20,0.024993753,
dinner,20,0.024993753,
flung,20,0.024993753,
given,20,0.024993753,
grew,20,0.024993753,
hear,20,0.024993753,
laugh,20,0.024993753,
least,20,0.024993753,
leaves,20,0.024993753,
lying,20,0.024993753,
manner,20,0.024993753,
self,20,0.024993753,
smiling,20,0.024993753,
soon,20,0.024993753,
theatre,20,0.024993753,
watched,20,0.024993753,
also,19,0.023744065,
arm,19,0.023744065,
cold,19,0.023744065,
coming,19,0.023744065,
except,19,0.023744065,
extraordinary,19,0.023744065,
feeling,19,0.023744065,
fell,19,0.023744065,
filled,19,0.023744065,
fire,19,0.023744065,
form,19,0.023744065,
glanced,19,0.023744065,
keep,19,0.023744065,
kept,19,0.023744065,
less,19,0.023744065,
london,19,0.023744065,
memory,19,0.023744065,
part,19,0.023744065,
present,19,0.023744065,
prince,19,0.023744065,
rate,19,0.023744065,
serious,19,0.023744065,
speak,19,0.023744065,
subtle,19,0.023744065,
whatever,19,0.023744065,
ago,18,0.022494378,
already,18,0.022494378,
artist,18,0.022494378,
doing,18,0.022494378,
dress,18,0.022494378,
entirely,18,0.022494378,
